;Hommes 18-34;Hommes 35-54;Hommes 55-79;Femmes 18-34;Femmes 35-54;Femmes 55-79;Ensemble 18-35;Ensemble 35-54;Ensemble 55-79
Bêta-carotène (ug/j);2578,8;3132;3828,3;2607,6;3445,3;4030,5;2596,2;3303,1;3917,9
Rétinol (ug/j);634,2;757,3;884,2;494,1;632;759,2;549,8;688,9;828,8
Vitamine B1 (mg/j);1,5;1,4;1,3;1,1;1,1;1,1;1,3;1,2;1,2
Vitamine B2 (mg/j);2;2,1;2;1,6;1,8;1,7;1,8;1,9;1,9
Vitamine B3 (mg/j);21,9;22,2;20,3;15,9;16,6;16,5;18,3;19,1;18,6
Vitamine B5 (mg/j);6;6,6;6,2;4,7;5,3;5,1;5,2;5,9;5,7
Vitamine B6 (mg/j);1,9;1,9;1,9;1,5;1,6;1,6;1,7;1,7;1,8
Vitamine B9 (ug/j);287,9;300;322,8;241,7;273,8;287,6;260;285,7;307,2
Vitamine B12 (ug/j);6,1;6,3;7;4,6;5,2;5,6;5,2;5,7;6,3
Vitamine C (mg/j);90,3;86,2;96,1;82,1;96,6;103,6;85,4;91,9;99,4
Vitamine D (ug/j);2,4;2,7;3;2,2;2,4;2,8;2,3;2,5;2,9
Vitamine E (mg/j);10,9;11,4;12,9;10,4;11,3;11,7;10,6;11,3;12,3
